year,laureate,contribution,affiliation
2004,"Robert E. Kahn","Internet architecture and TCP/IP protocols","CNRI"
2005,"Peter Naur","Language design (ALGOL)","University of Copenhagen"
2006,"Frances E. Allen","Compiler optimization and parallel computing","IBM"
2007,"Edmund M. Clarke","Formal verification: model checking","Carnegie Mellon University"
2007,"E. Allen Emerson","Formal verification: model checking","University of Texas at Austin"
2007,"Joseph Sifakis","Formal verification: model checking","VERIMAG / CNRS"
2008,"Barbara H. Liskov","Data abstraction and fault tolerance","MIT"
2009,"Charles P. Thacker","Computer architecture (Xerox Alto, Ethernet, multiprocessors)","Microsoft Research / Xerox PARC"
2010,"Leslie G. Valiant","Learning theory, complexity, parallelism","Harvard University"
2011,"Judea Pearl","Probabilistic reasoning and causality","University of California, Los Angeles"
2012,"Shafi Goldwasser","Foundations of cryptography, zero-knowledge proofs","MIT / Weizmann Institute"
2012,"Silvio Micali","Foundations of cryptography, zero-knowledge proofs","MIT"
2013,"Leslie Lamport","Distributed systems (ordering, Paxos, TLA+)","Microsoft Research"
2014,"Michael Stonebraker","Database systems (Postgres, new architectures)","MIT"
2015,"Whitfield Diffie","Public-key cryptography (key exchange)","Stanford / Sun Microsystems"
2015,"Martin E. Hellman","Public-key cryptography (key exchange)","Stanford University"
2016,"Tim Berners-Lee","World Wide Web (HTTP, URL, HTML)","CERN / W3C / MIT"
2017,"John L. Hennessy","RISC architectures and processor design","Stanford University"
2017,"David A. Patterson","RISC architectures and processor design","University of California, Berkeley"
2018,"Yoshua Bengio","Deep learning","University of Montreal / Mila"
2018,"Geoffrey E. Hinton","Deep learning","University of Toronto / Google"
2018,"Yann LeCun","Deep learning","NYU / Meta AI"
2019,"Edwin E. Catmull","3D computer graphics and rendering","Pixar / Disney"
2019,"Patrick M. Hanrahan","3D computer graphics and rendering","Stanford University / Pixar"
2020,"Alfred V. Aho","Compiler design and algorithms","Columbia University"
2020,"Jeffrey D. Ullman","Compiler design and database systems","Stanford University"
2021,"Jack J. Dongarra","High-performance computing (LINPACK, BLAS, MPI)","University of Tennessee / Oak Ridge / Manchester"
2022,"Robert M. Metcalfe","Invention of Ethernet and local area networks","University of Texas at Austin"
2023,"Avi Wigderson","Computational complexity and randomness","Institute for Advanced Study"
2024,"Andrew G. Barto","Foundations of reinforcement learning","University of Massachusetts Amherst"
2024,"Richard S. Sutton","Foundations of reinforcement learning","University of Alberta / Amii"
